date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-07-07,GHCND:USW00014764,24,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",184,"H,,S,",228,",,W,2400",144,",,W,2400",210,",,W,",200,",,W,",63,",,W,",85,",,W,",,,,,,,,
2017-07-08,GHCND:USW00014764,32,",,W,",46,",,W,2400",0,",,W,",0,",,W,2400",184,"H,,S,",244,",,W,2400",133,",,W,2400",250,",,W,",250,",,W,",94,",,W,",125,",,W,",,,,,1,",,W,",1,",,W,"
2017-07-09,GHCND:USW00014764,29,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",220,"H,,S,",278,",,W,2400",150,",,W,2400",260,",,W,",250,",,W,",72,",,W,",121,",,W,",,,,,,,,
2017-07-10,GHCND:USW00014764,28,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",223,"H,,S,",278,",,W,2400",150,",,W,2400",180,",,W,",190,",,W,",72,",,W,",103,",,W,",,,,,,,,
2017-07-11,GHCND:USW00014764,26,",,W,",3,",,W,2400",0,",,W,",0,",,W,2400",209,"H,,S,",256,",,W,2400",172,",,W,2400",200,",,W,",170,",,W,",63,",,W,",76,",,W,",1,",,W,",,,,,,
2017-07-12,GHCND:USW00014764,27,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",227,"H,,S,",283,",,W,2400",178,",,W,2400",110,",,W,",140,",,W,",67,",,W,",89,",,W,",1,",,W,",,,,,,
2017-07-13,GHCND:USW00014764,28,",,W,",10,",,W,2400",0,",,W,",0,",,W,2400",174,"H,,S,",194,",,W,2400",144,",,W,2400",40,",,W,",40,",,W,",67,",,W,",89,",,W,",1,",,W,",,,,,,
2017-07-14,GHCND:USW00014764,17,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",164,"H,,S,",200,",,W,2400",128,",,W,2400",110,",,W,",110,",,W,",45,",,W,",63,",,W,",,,,,,,,
2017-07-15,GHCND:USW00014764,20,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",181,"H,,S,",228,",,W,2400",156,",,W,2400",150,",,W,",150,",,W,",58,",,W,",67,",,W,",,,,,,,,
2017-07-16,GHCND:USW00014764,24,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",211,"H,,S,",278,",,W,2400",144,",,W,2400",180,",,W,",180,",,W,",76,",,W,",103,",,W,",1,",,W,",,,,,,
